kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
toonggu,juga,iamoko no inggo inak -,"jangan hanya kau, saya juga"
"toni, mondoni",memukul,i laika i ar - haino,Ani memukul adikny
toonohako,orang-orang,- i kambo nggiro'o mesida mbupuu,orang-orang di kampung itu rajin sekali
toorikona,mengenalku,no kioki no - hae,ia tidak mengenalku lagi
teoto,sudah tidak,- nonio anamotuono,sudah tidak ada orang tuanya
tootoosi,burung haniu,noporako oaso -,dia menangkap seekor burung hantu
to'otopo,tidak lagi,- nonggo ousa,tidak akan lagi turun hujan
totoono,boneka,- i Mina tepiha ito,boneka di Mina sudah pecah
topa-topa,pukul kesayangan,- ito ona laule momahe,pukul-pukul kesayanganlah gadis manis itu
torio,biar,- fo kumimba'i aku,biarlah dia melangkahkan
toroue,bianglala,mendoda mbuupuu petotoano -,bianglala kelihatan terang sekali
torunggu,penjara,- hapoto iwano mosaa,penjara apa itu yang paling tidak baik
tumorunggu'i,memenjarakan,sorodadu - raeyano,tentara memenjarakan rakyatnya
"tosi, autotosiikee supaya",engkau menembak,- holiwuno Anawaingguluri,supaya engkau menembak kelambu Anawaingguluri
"totaha, tumotaha",menjawab,tambuoki laa -,tidak ada yang menjawab
"totambe, tumotambei",menjemput,nggo lako - hinenggu,saya akan pergi menjemput iparku
"totamu, tumotomu'i",mengelilingi,sorodadu - o osu,tentara mengelilingi gunung
"totao, mototao",tertawa,- no laa mokoehe-eheno nopondou luale,", dia tertawa denan senang hati melihat gadis"
"totarea, tumotarea",berkokok,manunggu -,ayamku berkokok
"toto, mbetotoa",memandang,anandonia'ako - ine luale tetalalo,pemuda-pemuda memandang kepada
mototoa,melihat,kulaa - lombalomba,saya sementara melihat di jendela
totoi,"cincang, tetak",no - ramo-ramono,dia cincang daging-dagingnya
totoko,tamu,- nggiro'o merou,tamu itu sopan
totopaa,ketiak,iamo poindi metotopaano,jangan pedang di ketiaknya
"totondo, petotondoano",pembelaan,- wonua laai i une nggaedo luwuakondo,pembelaan negara di tangan kita semua
totosi,tepat,ano - ipo,dia membidik tepat sasaran
toude,kasihan,iamo hue - sumodolii dalo-dalo,kasihan jangan kamu mengganggu anak kecil
"towu, o towu",tebu,mesiu - laa pinopahono,tebu yang dia tanam manis
ndowu,tebu,no onggo mepombahora -,dia akan berkebun tebu
tuda,melekat,laa - i laa wotolunggu,
"tudai, anotudai tidak",dapat berkatakata,hanggari - mbiha ponduno,bahkan mulutnya tidak dapat berkata-kata
tudu,turun,ousa - lau-lau,"hujan turun terus-terus; mombokotudu menurunkan, - o usa, menurunkan hujan"
anoenetudu,dia pergi turun,ie'ito ona - wawopaano Anawai,itulah sebabnya dia pergi turun dari atas paha Anawai
tinuduri,dijatuhi,- no puunggasu,dia dijatuhi pohon kayu
metudungge,meletakkan,- no momeni matea,meletakkan Kkarena berat sekali
tudu,kian,- ako - tetuhani meambo,kian hari kian bertambah baik
tudu,sampai,no lau-lau lumaa - i asohari,"dia langsung terbang sampai di seberang, anotudu dia sampai, lahaano meuanggi Anawai - i wawapaano"
tudu,wungguaro brengsek,ana dalo nggiro'o -,anak itu brengsek
tue,tebang,- to puu nggasu nggiro' o,tebanglah pohon kayu itu
tumuehi'i,menebangi,i bio - pu'u nggasu nggiro'o,Bio menebangi pohon kayu itu
pondue,pemotong,rupo 'ike - no nggituo o pade,bawakan parang pemotongnya itu
anopondue,dia menebang,lakonoto mosale ohao - tawalae nggoponduu turu'ano,sementara memotong akar dia menebang daun akan tempat tidurnya
aupondeuhi,supaya engkau menebang,alei palimu -,ambillah kapakmu supaya engkau menebang
tuhani,tambah,- isiipo teesi,tambah lagi sedikit
tumuako,mendaki,i Bio -i osu ihawi,Bio mendaki gunung kemarin
pondukaako,mendaki,ano -,dia mendaki supaya dia mendaki
tukaa,tukang,i batulu -,Batulu tukang
"tukaa, pondukaari",menginjak,no telohu no - o api,dia hangus terbakar menginjak api
"tule, tulei",kemungkinan,no - mohina kioki keku leu sikola,kemung-
tulungi,"tolong, bantu",keu eheki ku - ko,kalau saya mau bantu kamu
tulungia,tertoling,anangge anak yang tertolong,
tumulungi,menolong,ihiro leu aku,mereka datang menolong saya
pondulungi,bantuan,pembanassano - nggiro'o kaduito,rasanya bantuan itu sudah cukup
tumbu,"tunas, pucuk",pulukiike - no keno toro,patahkan tunasnya kalau tumbuh
"tume, tumenai",menyuruh,ince ano leu i keni,siapa menyuruh dia datang di sini?
"tuna, o tuna",tunas,iamo polei - ndakule nggiro'o,jangan dipotong tunas belimbing itu
tunduwa,bertumpuk,- ito o pundi i pasa,sudah bertumpuk pisang di pasar
tundo,tumit,reanggee - mu meimeita,angkat tumirmu tingi-tingi!
"tundoki, tumundokii menendang",ke belakang,daga ke - ko o dara,
"tungge, anandumungge layang-layang",rumah,o tina moia i -,perempuan tinggal di layang-layang rumah
"tunggo, motunggo","sulit, mahal, susah",- hapo-hapo i pasa,mahal barang-barang di pasar
motunggoi.,"sukar, sulit",- lako i wonua nggiro'o,sulit pergi ke kampung itu
motunggono,"susahnya, sulitnya",- keno taanio o doi,susahnya kalau tidak ada uang
tunu,"bakar, atopendunui kita bakar",- le'esu i Batulu ano mate'eha,kita bakar dahulu Batulu supaya mati
mondunu,membakar,ie - tainahu i powaaiha,dia membakar daging di tempat keramaian
pendunui,membakar,ato - le'esu i batulu ano mate'eha,kita membakar dahulu Batulu supaya mati
"kar, ikan bakar, tumunu",dibakar,peopolaha sala mu keto - ko ona mokole,kam harus mencari jalan (cara) kala kamu akan dibakar oleh raja
"lwo, motu'o",tua,ipue - ito,nenel sudah tua
twoi,"ranjau, jerat",ta'aikona - bek nggiro'o,pasangkan ranjau bab itu
tupere,baki,iwawo ndupere laai ose re ronga -,di atas baki ada cerek dan cangkir
metusaki,"mematok, memasang tiang",ano'amba - o pitu oleo o pitu o wingi,dia terus memasang tiang tujuh hari tujuh malam
"tuturu, anoponduturu lalu",tertidur,laule Sani mehona-hano -,perawan Sani bersandar-sandar lalu tertidur
"anggi, me'uanggi","memingit, pingitan",anawai laa - i kitu,bidadari sedang memingit di situ
idia,ujian,pepokondau mbupun au kelusuki -,belajarlah bersungguhsungguh supaya kau lulus ujian
"ihe, umoohe",mengikut,ina ku onggo itonggu lako - ko,"(saya akan pergi mengikutimu), saya akan pergi mengikutimu juga"
luhu,"bungsu, ana iuhu, anak bungsu, anaiuhu anak bungsu",ina'u umale 'ikee sarunggano -,pergilah ambilkan topeng adik bungsu
uhu,susu,mbakoe tautosi'i - no,mengapa kau tidak kena susunya
umuhu,menyusu,inaku ari - ne inanggu,saya sudah menyusu pada ibuku
"uhu, uhu-uhuo",kalau,- no peohaki ano tahori leu,kalau-kalau ia sakit sehingga ia belum datang
"thuako, uhuuhuako siapa",tahu,aku hodohodo'ikee bungge-bunggenggu keno - sabusabutuuno,"saya ingin mengetahui ukuran peti rotanku, siapa tahu memang sudah sesuai"
"iku, meuku-uku",tunduk,no pesosounga lakonoto -,dia mengadah kemudian dia tunduk
peula,naik,hanggari'i ano - mbele,biarlah dia naik dahulu
"ula, mo'ula",menyuap,ari akuto kinaa i kitu,"sudah saya nasi di situ; mo'ulake menyuapkan; inae hiro purundawa, siapa menyuapkan mereka sayur?"
"ulu, umulu'i",mengayunkan,petu hairoto - nggareno,mereka sudal turun mengayunkan kakinya
"ulu, aitoinulu akan",diantar,mohin oheo - i laa wuta,"besok Ohe akan diantar ke perbatasan, arotoinulu mereka akan diantar te'embe keno mengga nggiro'o -"
undolia,nama sejenis pohon,umbee asombuu -,yang mana pohon undolia?
"une-une, moune-une",merencanakan,ro laa - nggo lako,mereka merencanakan akan pergi
une-une'i,"sangka, duga, kira",no kononiambo manuno,dia sangka sudah tidak ada ayamnya
"uso, mo'uso",kuning,mberanoto -,"sangat kuning; uso-uso kuning-kuning; - no tiolu, kuning-kuning telur"
"uta, mouta",meminjam,Ku onggo doimu,saya akan meminjamkan uangmu
waawa,meleleh,- woruno ine ngga-,
"wada, wadai",bayar,nggituu harusu inggo''o -,itu harus kaubayar
mowada,membayar,i bio lako indano,Bio pergi membayar hutangnya
lwaha,para-para,i - laatinapoi,ada yang dipanggang di para-para
waha,panggangan (sejenis rak di atas dapur),ale'i tainahu ne -,ambil lauk di panggangan
"waha, o waha",loteng,no ponaa o pae i -,dia menyimpan padi di loteng
"waha, mowaha memberi",kuah,kinaan mokula laa ne pingga,memberi kuah nasi panas yang ada di piring
"wahe, wahekee",singkirkan,- o kasu,
wahenggee,balik,- nggiro'o lamari,balik lemari itu
waka,luka,neino nggo pondaharino - mu,obati lukamu ini!
wala,pagar,ne - ano tekai,dia tersangkut di pagar
mewala,membuat pagar,ku laa i pombahoranggu,sementara saya membuat pagar di kebunku
wala'i,pagari,- galumu,pagari sawahmu!
walanda,Belanda,nggiro'o kapala mebandera -,kapal itu berben-
"wali, tewali",menjadi,no - sorodadu,dia menjadi tentara
"walo, mewalo",gemuk,Kkenoienoi nggo -,kalau dia lahir akan gemuk
wana,benang,- meeto.aleikona,amhilkan benang warna hitam
wana,sabe benang sutra,menggoloro - lipa sabe,"sawu sabe, memintal benang sutra sarung sutra"
wanggole,ubi,ihiro mo'oli -,mereka membeli ubi
wanggu,pukul,ku - komiu,saya pukul kalian
waraka,sehat,lahakoika -,kamu masih sehat
waru,warung,i batulu lako monggaa i -,Batulu pergi makan di warung
"watandiabe, i watandiabe",nama orang (perempuan),- mendulara ine anano,I Watandiabe berbicara kepada anaknya
"wateki, mowateki memaras, merata",kan,i bio lako - i pombahora Bio pergi memaras kebun,
"watu, watukee","ikuti, turuti",tulu rano mokole -,turuti nasiha raja!
lyawa,tawa,komoo-moo'ito,"ko'ori ori -, tersenyum-senyum"
"awa, mowawa",meleleh,- lau-lai i woi matano,meleleh terus ai matanya
"lwawe, mowawe","malas, lamban",da dio to'ono -,banyak roang mala
wawe,bawa,- leu i keni,bawa me reka datang kemari
lwawo,bawa,lakonoto - aku,pergi lah bawa saya!
"wawo, wawo horo",batas lantai,i - poisoanggu,di batas lantai tempat saya tidur
wawombusu,bukit,peekake i - o kasu inoniamu,naikkan ke bukit (darat) kayu yang kaurakit
wawondoruku,punggung,- no i ani mohaki,punggung Ani sakit
wei,beri,no taa onggo umalei keno u -,dia mungkin akan mengambilnya kalau kauberi
mowei,memberi,no onggo - o doi haino,dia akan memberi uang adiknya
pombowei,pemberian,iee mosua - ari ine potehano laalaa moia i Jakarta,ia memperoleh pemberian dari sepupunya yang tinggal di Jakarta
vembe,kambing,peolikekonapo nggu ne'ino,tolong jualkan kambingku ini!
mewewe,membelit,koloro no layang-layang no i aman - i puunghuluku,tali layang-layang Aman membelit di pohon kelapa
tewewe,tersangkut,- (fekai) dowono iuneno o aso parakara,ia tersangkut dalam satu perkara
"yiku, o wiku",belut,- i aa rano i bunggu laika,banyak sekali belut di lumpur di belakang rumah
"vila, mowila",putih,mberanoto -,sangat putih
anotewinda,terlepas,- dowo ana dalo nggiro'o,anak-anak itu terlepas sendiri
wine,gabah,meamboako - mu,bagus sekali gabahmu
"vinggu, mowinggu",mencangkul,saarino monggaa lakoto -,setelah selesai makan pergilah mencangkul
"iso, pewiso",masuk,anoene - i mumu ndumungge,dia masuk ke layang-layang bubungan rumah
arombewisoi,mereka mengenakar nya,lakorokaa mbendekambe al i sarunggaro -,mereka terus bi bar mengambil pakaian samara mereka lalu masing-masing meng nakannya
wiwi,pinggir,no ponggi o tolu pu nggasu i - aalaa,dia melihat tig pohon kayu di pinggir sungai
lwodo,sungguh,dadio ito - wuan ke mana gerangan perginya,
woha,beras,no ambe umalei - n baru dia mengambil berasnya,
wohiki'ito,cucilah,- kaemu an beresi,cucilah tanganmu supay bersih
aipowolekeeito,engkau bentangkan,- ambahi wulaa pu'umbetumbu,engkau bentangkan tikar emas di tengah rumah (di tiang rumah)
wonggo,cekik leher,ku laa moturu ano - aku,"sementara saya tidur, dia cekik leher saya"
wonggoikee,bekuk,- worokono ana dalo nggiro'o,bekuk leher anak itu
wonua,kampung,inaku onggo pekule i -,saya mau pulang ke kampung
anambuuwonua,anak raja lakilaki,ariakuto molimbai wulele mbu'ulipu - saya sudah melangkahi anak raja laki-laki; anak ne-,
wonua,daerah,- halu oleo,"- mami, daerah Halu Oleo daerah kami"
niwero,dibelah,ana dalo nggiro'o - I rapi mbaworea,anak itu dioperasi (dibedah) di kamar bedah
pangga,o wose pembesar,fono'o,
wowahe,"balik, pulang",au to mbule te'aso - tekolupe,"kamu sudah pulang, jangan lupa jenguk sekali-"
di,"muka kamar, di depan kamar",- laa i kitu,ada di situ di depan kamar
wowi,bodoh,anadalo nggiro'o - sawatuu,anak itu bodoh benar
mboko,wowi memperbodoh,iamo uehe mo - toono,jangan suka memperbodoh orang
pewowia,kebodohan,- mu aro mbegau-gauko,"karena kebodohanmu, mereka menipumu"
wua,kae jari,- nggae teeaako opiso,jari tangan teriris pisau
"wuko, tewuko",berkumpul,no - to' ono i tekonggoa,orang berkumpul di pesta
lwuku,biji,aso ikaa - no,hanya
vukuehu,rusuk,saba nomarusu - no tebua,karena kurus rusuknya tampak jelas
vuku,ndoruku tulang belakang,- no sapino tepulu saba nomotonda ianggalo,tulang belakang sapinya patah karena jatuh ke lubang
tepowula-wula,berbulan-bulan,i kitu poiano - dia tinggal berbulan-bulan di situ,
tepopowula-wula,berbulan-bulan,- to no morunggu,berbulan-bulan dia sakit
vule,sirih,dadio - no i bio,Bio
wulele,anak,totoa'i anamu kondoi - mu,lihat anakmu (ungkapan tetap)
wulele,bidadari,susurino - inosano ano ngginolupeno,penjelasan bidadari yang dijelekkan dilupakannya
wulele,bunga,- nggu i poasa,bungaku di Poasa
vulo,bambu,mepupuri o suli -,meniup suling bambu
"vuloso, mewulosokee","mengayunkan, menyodorkan",i bio - o pi'ingga onggo niloduhi,Bio menyodorkan
wunggoliki,bengkaru,mohewuipo ano amba outi,lebih kecil ber karu daripada biawak
wungguaro,dada,- no pepiho,dac nya berbisul
wuohu,baru,no laa mongar babu -,dia mengingini baju ba
"wuoli, tewuta",terlepas,- ito mor gopotino,sudah terlepas pengk nya
