kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
anomosalesale,dia melayang-layang,- molaalaa ndoe,dia melayang-layang di angkasa
aleo,elo pemberita,anadalo nggiro'o -,anak itu pemberita artinya suka menyampaikan berita
salei,tebang,- o pundi nggiro'o,tebang pisang itu
"salei, posalei",memeras,no - nggi-,
saluaro,celana,- iune - mendaa,celana dalam celana panjang
salupi,ikat pinggang,- ngguli,ikat pinggang kulit
arosamaturu,mereka bersepakat,- lako,mereka bersepakat pergi
samba,"dahan, cabang",- ronga raa rangga tituo i hawi kiniwi,dahan dan ranting pohon nangka dipangkas kemarin sore
pesamba,bercabang,pu.unggasu nggiro'o - ruo,pohon kayu itu bercabang dua
sambahea,sembahyang,wole'i ambahi -,bentangkan tikar sembahyang
sumambali,"membeleh-belah, membagi-bagi",inae onggo - kiniku,
"sambeako, mesambeako menggan",tung,inas - o babu i keni,siap menggantung baju di sini?
sambehula,sedapat mungkin,lakot -u dungu,pergilah sedapat mung kin kau sampai
sanaa,senang,inaku - akuto,saya su dah senang
sandale,sandal,laa ito - nggu rong songgonggu,sudah ada sandalk dan topiku
sando,peana bidan,- nggiro'o iet posandono tonopeano,bidan it adalah perawat orang beranak
mesando,berbidan,peanano nggi - sewaktu akan beranak ia ber bidan,
mosando,peana kebidanan,anada lo nggiro'o menokodua kee anak itu belajar tentang kebidan an,
sumandoi,membidani,nyonya Asmi ari - ako,nyonya Asm yang pernah membidani saya
posaoa,meruncing,mbo'alo pu'u wulo si - tu'oi,ambillah pohon bambu kecil engkau meruncing dan pasang ranjau
"sapi, osapi",sapi,- ndina inolino i maama,sapi betina dibeli paman
sara,sifat,mbemosa - ro,sifat mereka jelek
sarapu,"pacar, tunangan",engeno nggu mendadi dahu,hidung tunanganku mancung sekali
sumaru'ikee,menceritakan,i bio - mosaano,Bio menceritakan keburukannya
saruikoo,ceritakan,poedea'ito saru aku - doa mombokotudaii,dengarlah saya ceritakan
orang,"itu baik ceritanya, akutosaru saya akan",kekupe'ekato - lako,kalau saya naik berarti saya akan pergi
saru,yang,laa iki - salanggoano,ada yang ganjil
sau,jangan,- ale'i nggitu'o,jangan ambil itu
"sawa, mesawakee",memarahi,inggo'o ehe - haimu,kamu suka memarahi adikmu
"sawatuu, sawatuumu engkau",sungguh-sungguh,meenae perano -,apakah benar engkau sungguhsungguh
"sebi, mesebike menarik",dengan me nyentakkan,- ano mokora,me narik dengan menyentakkan su paya kuat
pesebikee,menyentakkan,nokareno,dia menyentakkan Kaki nya
"seka, moseka",berani,mokole i kona we - rongga moambo penaono raja di Konawe berani dan bail hati,
teseka-seka,pemberani,anadalo nggiroo - sawatuu,anak itu pemberani sekali
"sele, mosele",basah,luwuakono - babuno,bassah seluruh bajunya
mesembaki,"menendang, menyepak",no petidu lakonoto -,dia meninju lalu dia menendang
mokosembaki'i,"menendang, menyepak",i keni aku - golunggu,saya menendang bolaku di sini; sumembaki menendang; menye-
"sende, sumende",cerewet,ie - mbondu,dia mulai cerewet
"lsepa, mbesumepa",mengamuk,rea ano mokole,rakyat raja mengamuk
mesumepa,meronta,ana dahu -i tado laika,anak anjing meronta di kolong rumah
sumepa,mengacau,leu itokaa pokatu mbera mokole ari-ari leu kemudian datang pesan para raja yang pernah datang mengacau,
mesumepa,"main sepak, main takro",maindo ato lako - i kiro,marilah kita pergi main takro di sana
"sepe, sumepe'i",dipukulnya,lakonoto - darano,kemudian dipukulnya kudanya
sepu-sumepu,menempa,"inggo'o to"" ori -",Kamu pintar menempa
serekombo,saudara kandung,laa o pitu - nggu,ada tujuh saudara kandunganku
"sesehe, mbeseseha",berkelahi,ene-enero'ikaa aro''amba -,seperti mereka berkelahi
arombesehe,mereka berkelahi,tiwahako ana - jangan sampai,
"ida, mesida",rajin,o limo pakambo - leu ine tekonggo.o,lima penduduk kampung rajin datang di pesta
ikola,sekolah,lakoto ona i -,pergilah ke sekolah
mombokombesikola,menyekolahkan,i ina - anano,ibu menyekolahkan anaknya
ikuru,cukur,mosa'a - no,cukurnya tidak baik
ila,silat,inae mokondauko,siapa mengajarmu silat?
ilibio,pelir,- ronga wutano haino mokato-kato,pelir dan kontol adiknya gata-gatal
"ilu, o silu",cuka,- ine botolo nggiro'o tesolo,cuka di botol itu tumpah
"ima, o sima",belasting,- pewiso i ngapa aso etu rupiah,belasting
