kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
panaapii,"membedili, menembaki",iee - o beke laalaa molasu nggi- ' ro'o ia membedili (menembaki). babi yang lari itu,
anasa,daun sagu,ale ikano - nggituo,ambilkan daun sagu itu!
"anaonao, aupenaonao",beristirahatlah,metuduto pewinda -,beristirahatlah menarik napas panjang
angemba,empang,moare ito iwoino nggiro'o -,sudah kering air empang itu
ani,sayap,mendaa ito - no manunggu,sudah panjang sayapnya ayamku
"aramesi, meparamesi minta",permisi,- itokaa lelewuta,minta permisilah Lelewuta
aresae,periksa,tewali i - teteembe sangganggu,boleh kalian periksa bagaimana persiapanku
parewa,alat,sangga ito - no lakono lako,"setelah lengkap alatnya, dia pergi"
"parewa, mbeparewa",berhias,- to ato amba lako meronga-ronga,berhiaslah baru kita pergi bersama
pasa,pasar,no onggo lako nenggi i -,dia akan pergi ke pasar sebe tar
"pasadia, mepasadia",bersedia,ie - i nggo mebaho,dia sudah bersec mandi
mombasadiakee,menyediakan,batulu - taipa ihawi,Batulu nm
mokosadiai,membenahi,anam tuono - luwuako indio nggiro orang tuanya membehani sem pekerjaan itu,
pasapu,destar,- no i bio,destarn Bio
anopepasipole,berurusan,ikir' tokaa Lelewuta - pada saat i lah Lelewuta berurusan,
anopepasipole,dia mengurus,i,
"paso, o paso",pasak,laika nggiro,
"pato, mombepato",membunuh,i «,
eanaka,kandungan,- no omore nggiro'o mohaki,kandungan perempuan itu sakit
eanihi,garam,i bio mo'alo -,Bio mengambil garam
ebia,singgal,to - i kiro,kita singgah di sana
"ebusanga, pinebusangakono yang",dimintakan,peluako luwuako -,ke luar semua yang dia mintakan
mombe'ekai'i,menaiki,- i raha,menaiki rumah
anope'ekato,supaya dia naik,bara dumului sarapuno,supaya dia naik berkumpul dengan tunangannya
egolua,sepak bola,laa'ito ari lako i lapanga -,sudah pergi ke lapangan sepak bola
ehamu,telan,iamo -,jangan telan!
"ehawa, tepehawarii",teringat,no ine desano,ia teringat pada dasarnya
eihi,wukuno bernas,opae - mokonggo ehe-ehe keito,tanaman
ekule,pulang,ilakonoto -,kemudian dia pulang
elua,keluar,keno menggauto winggi iamo - ako,"kalau sudah larut malam, jangan keluar"
enasa,rasa,kioki to - i no menggauto wingi,tidak rasa sudah larut malam
pembenasano,rasanya,- pondolungi nggiro'o kaduito,rasanya bantuan itu sudah cukup
topenasai,terasa,Kkioki - menggauito wingi,tidak terasa sudah larut malam
"pendeehio, pependeehio memperh",kan,aukaambendua - nggir to'ono,kamu akan memperh kan orang itu
penggena,"seperti, sama dengan",ni - no babunggu,sama dengan junya ini
penggookoro,berdiri,soba-soba coba-cobalah berdiri,
penunu,tarik,meilo ako no -,j sekali dia tarik
peohai,sepupu,laa mbeleu sepupu mereka datang,
peohai,pamili,iamo leu taataa jangan datang yang bukan pan nya,
"peooalo, tepeooalo bisa","lolos, te long",menggau me'ena ano'ar tumulei - ako,lama betul b bisa lolos
"pepate, pinepate",dibunuh,m onggo - mbupuu iyee ta on ehe,"walau akan dibunuh sel pun, ia tidak akan mau"
ba,anopesaki dia berpindah,iepo,
pesusu,tutup mata,- to auamba pewola,tutuplah matamu kemudian kamu buka
"peta'a, peta'ato",pasanglah,- opio dadiono,pasanglah berapa banyaknya
"petana, aupetanaaku engkau",andalkan saya,- auperairahiaku,engkau andalkan saya
"petarambuu, petarambu'uto",mulailah,- ari ike'i ne'i,mulailah dari sini
petau,pematang,i bio lalako pohon meamboi - no,Bio pergi memperbaiki pematangnya
petengi,biari (pagar),- ine bangga nggiro'o laaa ito matarambuu mosaa,birai pada perahu itu sudah mulai rusak
petuha,turun,anopaa'i kaduno ano - alko,"dia selempangkan kantung sirihnya, lalu turun pergi"
petutuulu,kudung,metutuuluako lipa sabe,berkerudung kain sutra
pewangu,bangun,i hiro - ihawi mereka bangun kemarin,
pewenea,benih,- ieto pombiaraa owine,pembenihan ialah tempat
pewola,buka mata,- nokaa lau-launo lako,"begitu buka mata, dia langsung pergi"
pewowi,bodoh,iee mesida mano -,"ia rajin, tetapi bodoh"
"pidi, medipikee",membidik,no mata mbanano ine tao tadono obali,ia membidikkan anak panahnya ke arah lawan
piha,mbiha siapa tahu,mohina hae - ano leu ndamahi,siapa tahu besok datang lagi ke mari
"piho, o piho",bisul,- no ana dalo nggiro'o penana ronga pemata,bisul anak itu bernanah dan bermata
"pile, momile",memilih,i bio laa - pahoro,sedang Bio memilih bibit
mepili'i,"berburuan, berkejaran",ko ponggii o lale -,saya melihat lalat berkejaran
pilo,pulpen,no alei - no ronga potolono,dia ambil pulpen dan pensilnya
"pimbi, o pimbi",belat,no pondaa - i ana aalaa,ia memasang belat di
"pingga, o pingga",piring,menggil meena nggiro'o -,mengilap sekal piring itu
pinisi,langsat,- nioli i hiro,langsa dibeli mereka
ano,o pitu dan tujuh,o pitu « wingi - oleo,tujuh malam das tujuh hari
po,nanti,ninggiro - ato lako,nant kita pergi
aupo,engkau akan,- hae umeusa aku momokole,engkau aka menggantikan saya lagi jadi raja
anopoahai,dia pikul,dia pikul lakono wawei - asombole,lalu di bawa dan dia pikul sepotong
poburi,kalam,iee momone puu rema noonggo moale -,ia memanjat pohon enau untuk mengambil kalam
pode,"perempuan, gadis",anawaipodenggu,anak gadis saya
pinodea,didengar,laa tulura - no,ada bicara yang didengarnya
tepodea,mendengar,no - kiri'ito kadue laa molasu,dia sudah mendengar anaung sedang berlari
aupodeai,dengarlah,mberorongo' ito -,"dengarkanlah, dengarlah!"
poedea,dengar,anomopoipoedea,agar ia mendengar-dengar
pogarisi,belebas,- hainggu tepulu iwingi,belebas adik patah semalam
pohau,timba,ketoka umalei - no iwoi,dia akan mengambil timba arinya
"pohi, pohiakotokaa",bersembunyilah,- i kitu ku onggoki humoi kono,
peganglah,"jangan sampai dia lari, pepoindi berpegang",mo - ne langgaino,"dia berpegang pada suaminya, poi-poindi'i pegang-pegang, mbeembee aku -; saya coba-coba pegang-pegang"
yokaa,lah,loko - i laikano i ali,pergilah ke rumah Ali!
yokatu,"kiriman, pesan",leu itokaa ro mbera mokole ari-ari leu sumepa,kemudian ada pesan para raja yang pernah datang mengacau
"ypkatu, pinokatu",dikirim,laa hapohapo nggo -,ada barang-barang yang akan dikirim
"yoko, pinoko",dapat,manolaa mokole dumadagae keika - alo,biar ada raja yang jaga dapat saya ambil
yokondau,kenono ne pinaka biologi,ieto -,"biologi ieto -, biologi ialah ilmu hayat"
pokosi,simpan,- ikee ruo atawa tolu,simpanlah dua atau tiga
anopokosii,disimpannya,lakonoto pupu'i hae nggiro'ono omunde - dipetiknyalah buat jeruk lalu disimpannya,
pokotei,pasti,aropombokotei,mereka psati menentukan pendirian
poia,tinggal,ro - i laika watu,meka tinggal di rumah batu
"polaha, meopolaha",mencari,-purundawa wonggo mbonggaa banggonanggu inggoni,teman-temanku mencari sayur yang akan mereka makan nanti mereka makan nanti
"polasu, pinolasu'ako",dilarikan,inge mbuhapo-hapo - no,barang-barang siapa yang dilarikannya?
pinolasui,tinggalkan,o hapo laa lako - mu,apakah ada yang kamu tinggalkan?
polisi,polisi,tondari'akuto lako ne asarama -,ikutilah saya perg ke asrama polisi
