kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
"dawu, mbendawunggae",mengumpulkan,saa mbulero i lakoro lakotu'u ina'u - tawarono amano,"setelah pulang, mereka pergi mengumpulkan sagu ayahnya"
de,sering,kambuka - niowai posikuti,ijuk sering dibuat sapu
lee,suka,pabalu - moboro hapohapo,penjual biasanya suka mem-
"ndeno, tendenoto sudah",terlalu,menggau ku pete'elu,sudah te lalu lama saya menunggu
ndia,perut,no na'i i wawo - no,d simapn di atas perutnya
ndinungge,layang-layang rumah,m tandu ku toangge'eke wuku ulu? i mumu -,pasti saya lihat tular kepala mereka di atas layang-l yang rumah
ndo,to) kita,laika - nggiroo,n mah kita itu
ndonde,gelas,poalo i woi aso -,ar bil air segelas
"ndoono, toono",orang,- nggiro mate,orang itu meninggal
ndowu,tebu,laa'ito moia i Ohe ano tepehaqario no onggo m pombahora -,pada suatu sa; Ohea teringat untuk membuka k bun tebu itu
ndulura,bicara,sala - ito kei am dia salah bicara kepada ayah,
ggineke,sumur,ano amba lako moalo iwoi -,"sesudah selesai, baru dia pergi mengambil air sumur"
gginiwia,sore,ne koi lahaamu moturu -,tempatmu tidur sore di ranjang
ggiro'o,itu,lakonoto dumahu - to' ono,orang itu pergi berburu
ggituo,itu,ku poko alei - sisimu,saya bisa ambil cincinmu itu
nggo,untuk,sinuano lunonako powadano ohala,hasilnya semuanya untuk pembayar utang
nggo,hanya,- eso ikan memeambo,hanya satu saja yang baik
ggoso,biaya,- sikolano koa wula kadui o woseno,biaya sekolahnya tiap bulan cukup besar
"ggoso, onggoso",membiayai,ariito,
"ggoso, onggosoi",membiayai,no anano lako i suere wonua,ia yang membiayai anaknya ke luar negeri
poonggosi,pembiayaan,- mahasiswa ingoni kadui meitano,pembiayaan mahasiswa sekarang cukup tinggi
ggumeluhii,membengkokkan,utuleiki - kasu motoha nggiro'o,dapatkah Anda membengkokkan kayu yang keras itu?
ngguro,periuk,koa kinaa aso -,setiap makanan satu periuk
"lino, niinono yang",ini,iamo no inalo,yang ini jangan diambil
inggiro,sebentar,- no amba lako i galu,sebentar dia pergi ke sawah
io,lahir,no - anano kononio wu' uno,anaknya lahir tanpa rambut
"ipi, monipi",tipis,- niino taratasi,kertas ini tipis
noasio,hampir,- moisa,hampir tuh
noehee,senang,ana ndonia i kona - metotoa luale,anak muda Konawe senang memandang gac
nohori,pernah,po'opo - mosua | di'o,belum pernah mendapat y kerjaan
nomangilondo,terapung,- dal bangganggu,perahuku terapus sekali
nome'ambo,"karena bagus, kare! baik",ku ale - nggu ku penas saya ambil karena baik saya ra,
nomotunggo,karena sulit,- ieto ar ta damai,dia tidak kerjakan k rena sulit
kiro,"i aa wonua, sudah lama",berada di negeri itu,
a,notulei entah,- ohawo sababun,
a,han,no'ene umale'i ano - di,
anopenunungge,dan menarik,ing,
"ahaki, meohaki",sakit,mokole laa i laikano,raja sedang sakit d rumahnya
oheo,nama orang,laa'ito mo'ia anotepehawario no onggo mopen bahora ndowu,pada suatu ketik Oheo teringat akan kebun tebu
mo'olikee,membelikan,iee - inano lipa Bugisi,ia membelikan ibunya sarung Bugis
olii,"belilah, beli",-keto kinikuno,beli saja kerbaunya
"oli-oli, pe'oli-oli",menyesal,iamo i -,jangan kalian menyesal
oliwi,pesan,no - ano leunggo nanggiro,dia pesan supaya datang swbentar
oliwimu,pesanmu,anohende-hende'akoto morara - mengapa terlalu serius pesanmu?,
umolohu,i menelan,inggu'o - pakali,kamu yang menelan obat
inolu,ditunggu,nggo-nggo - iyeito peohaino,yang akan ditunggu ialah saudaranya
ke'omba,keempat,- eleo no pekule,setelah keempat hari dia pulang
ombu,Tuhan,peohawaii o - keulaa lako,ingat Tuhan kalau kau pergi
omeha,sebagian,aleito naito -,"ambil sebagian, simpan sebagian"
lono,lah,iamoto - sodoli aku,janganlah ganggu saya
"onasa, meonasa",merasakan,ano amba dalo-dalo - hendeka keno wawo wuta laha'ano molako-lako lalu anak kecil merasakan sepert dia berjalan-jalan di permukaar bumi,
onda,sisik,mombeondapi oikaowiki kioki nope -,menyisikan ikan be lut tidak bersisik (melakukan pe kerjaan sia-sia)
one,pasir,dadio ako - i aalaa,ba nyak sekali pasir di sungai
meone,berpasir,- ito nibusumu sudah berpasir cucianmu,
"ongo, o ongo",walangsangit,paeno ali nokopuikee -,padi Ali dike rumuni walangsangit
anitu,setan,sa no basa ika poleno molasu itoka -,"dengan membaca guna-gunanya, setan lari"
"o'oka, umo'okaka","memisahkan, mematahkan",aku to -,saya akan mematahkan kerangka tubuhmu
o'olu,tunggu,- akoto,tunggulah saya
nioolu,ditunggu,ietokaa laa hanya dialah sementara ditunggu,
umoolu'i,menunggunya,ku laa leuano,sementara saya menunggu kedatangannya
o'oluko,tunggu engkau,omba to oleo ku - sudah empat hari saya tunggu engkau,
oone,pasir,nomenggau umoolui otono laa moula -,terlalu lama menunggu otomnya yang sedang memuat pasir
rumah,"di sini?, monggopio berapa kali",- ano dunggu ne garisi,sudah berapa kali tiba di garis?
temonggopio,berapa kali,- to lako mo'ala o pundi,berapa kali kita pergi mengambil pisang
opu-opu,yang habis,- wohano iamoto no ponggaa,yang habis berasnya tidak usah makan
autoumopuiro,engkau memusnahkan mereka,wonokuri baisa -,"konon mertua, akan engkau memusnahkan mereka; anoopui dia habiskan, ketokaa laa te'eni gumau-gau'i - ie kokeenoponduhakona, dia bicara, dia tipu dan dia habiskan, dia tidak memberikan saya"
ano,opu lalu habis,lzeto mois nggo inano,dia tinggal dan habislah ayamnya
"ori, me'ori",memanggil,batulu - i sani,Batulu memanggil Sani
manggil,"mereka, peorikee memanggil",i kirotokaa ano - Torotambi,di situ saja dia memanggil Torotambi
anopeorikeero,dia memanggil,ana'akono,dia memanggil semua anaknya
orui,bergegas,- to lako,bergegaslah dia pergi
osu,gunung,keku lako i - iamoto u lako,"kalau saya pergi ke gunung, jangan kaupergi"
otinggu,korek api,poalo poombia,
otulo,tiga,no pongii o rua,"- pu nggasu i wiwi aalaa, dia melit dua, tiga pohon kayu di ping sungai"
"otu, anotu supaya",engkau cepat,m ale'tio - mbule,ambillah supa engkau cukup pulang
otuo,guna,ohapo - nggo o no. pumbuiro,apa gunanya dia ku pul mereka?
aa,paha,ku laa merere i wawo - no banggonanggu,saya sedang duduk di atas paha temanku
aai,selempangkan,ano - kaduno anopetuha lako,"dia selempangkan kantung sirih, lalu turun pergi"
vaalua,bantal,kai balatu meambo niowai -,kain belacu baik dibuat bantal
yaapaa,burung gagak,- nggiro'o monggaa kapaea,burung gagak itu makan pepaya
"yaapamba, mopaapamba",dekat,laa' ito mo'ia o donga ano lako i pamba i woi,sudah ada ruas yang tinggal dekat air
pombabawo,pemberitahuan,laa ito - nggo mbeindio sukarela,sudah ada pemberitahuan untuk kerja bakti
pada,"pada, terhadap, sama",iamo mokosala reka miu - inggitoika,"jangan malu, kita sama saja"
"pada, o pada",kelewang,tambila mbadano mbueno tepihaito,sarung kelewang cucunya sudah pecah
badangga,pedagang,- nggiro'o laa lako i luara,pedagang itu sedang keluar
"badano, tepadano","keluar, muncul",saa nosipahio - iwoi,"begitu dia buka, langsung muncul air"
ade,parang,no lako luwuwi'i - no,"dia pergi meminyaki parangnya; basumpadeno bakul tempat parangnya; umalei rumongo'i -, mengambil dan menjujung bakul tempat parangnya"
aebiu,padi biasa,arino paedai lakoro to ene ne -,"selesai padi pulut, kemudian pergi ke padi biasa (merah)"
aedai,"padi pulut, beras pulut",arino - lakoro to ene ne paebiu,"selesai padi pulut, kemudian pergi ke padi biasa (merah)"
ackombo,saudara kandung,- no tambuoki,tidak ada saudara kandungnya
"aeri, pepaeri",memeras,no - wukuno,tia memeras tenaganya
"paguru, mepaguru",belajar,arino lakonoto moiso,sesudah dia bel jar kemudian pergi tidur
mombaho,menanam,kuonggo le - kaluku,saya akan menanam k lapa
mombopaho,menanam,medaso i pombahora,"rajin menanam kebun; pinaho ditanam; nggo - ro, yar akan ditanam mereka"
pinopaho,tanaman,- hapoto r ino laa toro,apakah tanaman if tumbuh?
pahoro,bibit,- mbae nggiro'o par luu pinokosi,bibit padi itu per disimpan
"palikuku, mepalikuku berselimut","nggiro'o toono moiso laa -, oran",itu tidur berselimut,
