kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
lale,use lalat langau,dadio - ino bake belee nggiroo,banyak lalat langau dibangkai babi itu
aulaloakotoka,engkau terlalu,hende-hendeako tekura,mengapa engkau terlalu berputus asa?
lalo,kebun,niino - nggalulu hanuno maananggu,kebun kelapa ini milik pamanku
alo,"pepohonan, kumpulan tumbuhtumbuhan",- ggopi,pepohonan kopi
lalolae,nama kampung,leu'ito ari lako i -,sudah datang dari lalolae
lambamba,lereng,i - lahaano malaika,tempatnya membuat rumah di lereng
lamoa,cakrawala,i uneno -,di dalam cakrawala
laandoe,angkasa,i -,di angkasa
landa,kecil,aupelaika -,supaya engkau berumah kecil
"landaka, bakilandaka keranjang",tapisan sagu,au leu mo'ana - aurongga poloo,engkau datang menganyam keranjang tapisan sagu dan membuat tali
landera,lentera,mombodai -,menyalakan lentara
landoriki,penampang dinding,- laikamu mosaa itu,sudah rusak dinding rumah
langgai,"jantan, laki-laki",dara -,kuda jantan
langgo,akan,- leu mokole,raja akan datang)
"lango, lumango",berenang,anadalo uggiro'o dago-dagono -; anak itu juara berenang,
"langu, telangu-langu setengah","mabuk, mabuk-mabuk",no ari moinu o araano -,dia mabuk-mabuk sesudah minum arak
"lano, o lano",dalam,- dahu,sangat dalam
lapanga,lapangan,ro laa mogolo i-,mereka berlomba di lapangan
lapi,lapis,pitu -,tujuh lapis
laru,palsu,doi - ramo palsu momboko odoi,"uang palsu, nama palsu, memalsukan uang"
lasandumoko,benalu,puu - nggiro'o laipo mewalo,pohon benalu itu masih subur
lasi,laci,i une -,di dalam laci
"lasu, molasukee",melarikan,ku onggoki - kee,nanti saya melarikannya
anopolasu,lalu lari,luale Sani rumongo'i kombeo - gadis Sani menjunjung bakulnya lalu lari,
aupolasu,lalu lari,petuhato ona aleikee langgeno - turunlah ambilkan gelangnya lalu lari,
lasuna,bawang,i ina mo'oli -,ibu
la'usa,tangga,iamo penodootoro pu'u -,jangan duduk di bawa tangga
"awa, mbelawa",melawan,keno n langgu -,melawan kalau dipuku
"lawa, asolawa",sesaat,asodaa noole - nggotika,satu jam dia datan (dia datang sesaat saja)
lawu,besi,laa mempoindi ne -,se mentara berpegang di besi
leko,pengkol,- no golo-golo ngg ro'o kolinggu-linggu,pengkol keri itu berliku-liku
"lele, nggoleledele",menari-nari,sa,
lumeleu'i,membesuk,inaku nggc lako - banggonanggu,saya akar pergi membesuk temanku
"lengo, lumango",berenang,no wonokuri to'ori -,"katanya, ""Dia pintar berenang"""
"lese, o lese",langsat,mbo alo dalo-dalo -,anak-anak mengambil langsat
