kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
a,ah,-,"keto hae qumau-qau'i o hada, ah, dia lagi akan membohongi kera"
aa,dalam,ari - mbotingu,dari dalam keranjang - laika dalam rumah
aa,"sungai, kali",opioiwoi wose petuhari'i hende - mowewe,berapa kali besar yang bermuara seperti sungai rowewe
aa,pinggang,- no monga,pinggangnya langsing
aabola,kamar perahu,mbewiso doeke i - tetebua ikuno,tikus yang masuk di kamar perahu kelihatan ekornya
aahua,sumur,ano inau petuha butu sala i -,dia pergi turun menuju jalan ke sumur
aahuano,sumurnya,mbemaroi i - rondembelaa mbendudu kuluri mbebaho,ramai sumurnya burung nuri turun mandi
aalaa,sungai,no ponggi o ruo tolu pu'u nggasu i wiwi -,dia melihat dua tiga pohon kayu di tepi sungai
aalahambuti,aalahambuti,aalee tinamoako -,sehingga dinamakan Aalahambuti
aalepa,bakul,anorurui umulambendua'i i -,"dia pungut, dia isi kembali di bakul"
aandembe,pelimbahan,andi-andino motonda ine tembe (i -),antingantingnya jatuh ke pelimbahan
aandoolo,hutan belantara,sabutuno mengaruhi dungguito i - motu'o,tepat magrib sampailah di hutan belantara
aanggalo,lembah,o pitu - tinawunino,tujuh lembah yang ditimbunnya
aangineke,sumur,i -,di sumur
aarano,bencah,- hende-hendeikaa wuta menggedo,tanah bencah atau tanah berlumpur
"aasaki, aasakindahi seberang",laut,laa iropo nggo dunggu mengapa inggapano mokele i -,mereka akan sampai berlabuh di pelabuhan raja di seberang laut
agama,agama,iso-iso tembono leu -,dahulu waktu datang agama
aha,besar,pe'eka i laika -,naik di rumah besar
aha,tengkorak,anopekali'ako uluno anopundusaki wala'ako te-,
ahu,asap,mendoda ako - apino ari mondae,jelas sekali asap apinya dari jauh
ahua,sumur,moia meena i woino nggineke,air sumur jernih sekali
"ahupio, umahupio",menimba,i bio iwoi,Bio menimba air
ai,engkau,- oolu'aku akupowisopo leesu ine rapi,"engkau tunggu saya, saya masuk dahulu ke dalam kamar"
aimbelako,engkau sekalian pergi,- kumiki'i nggiro'o ranoa,kamu sekalian pergi melihat semangka itu
ai,kalian,kei dunggu i raha - ponahu,"kalau kalian sampai di rumah, kalian memasak"
ai,kamu,- amba umale'ekee,kamu akan mengambilkan
aioru,kamu segera,saa menggano mbe'aru - mbe'ina'u,"seketika fajar menyingsing, engkau segera ke sana"
ai,supaya anda,- petuha,supaya Anda turun
akala,akal,tomboowai - ndawa,kita membuat akal sobat
aki,kami,- leu mokowaliko rumuru'i,kami datang membantumu memungut
aku,saya,no anggo kumaa -,dia akan makan saya
ale,ambil,ano - nggiro'ono o ika,"dia ambil ikan itu, alee mengambil, ano ene pe'eka"
umale'ikee,ambilkan,iamo - kinano,jangan ambilkan makanannya
aleikee,ambilkan,- pekano ano lako kumabi,"ambilkan pancing besarnya, dia akan pergi memancing"
aleito,ambilkan,maa - anooru mbule,"ya, ambillah supaya dia cepat pulang"
umalei-alei,membela,inae - ana dalo mekulero nggiro'o siapa yang membela anak yang berkelahi itu?,
poalo-alo,pembela,iee metunuako tumotondai onggono,ia pejuang pembela kebenaran
aleuti,nama kampung,-,"sambeani, hongoa, ronga aului, Aleuti, Sambeani, Hongoa, dengan Aului"
alo,bantu,mbekaalo - ako,bantumembantu
"alu, aluno",penumbuknya,ku'onggo lako monduekee - nainamu,saya akan pergi memotongkan penumbuk tantemu
amamu,bapakmu,kikii'ipo - botu'ito tiano,lihatlah bapakmu sudah meletus perutnya
amanggu,bapakku,no'oliwi'aku i,
amano,ayahnya,no oolui - i menunggu ayahnya,
"amba, anoamba",kemudian,- lako hada nggiro'o,kemudian kera it pergi
ambahi,tikar,- ronga paalua nosot i ina,tikar dan bantal di jahit ib
mo'ana-ana,bau anak,inae - i ke ni i poturua,bau anak siapa di tempat tidur sini?
anai'uhu,anak bungsu,ieto ona taataa laa sarunggano,dialah anak bungsu yang tidak ada baju topengnya
ana,"ruo anak kembar, nggiro'o meambo, anak kembar itu baik",anakoda nokada; kuonggo mo'olikee - inea,"akan saya datang membelikan pinang untuk nakoda; anadalo anak-anak bayi, laeto pelua'ako obeli tewindanoto - sedang darah keluar, lahirlah bayi; anando anak kita, nopesarapukee - i wuta Sina, dipertunangkan anak kita di tanah Cina"
pe'ana,"beranak, bersalin",inae -.i wingi,"siapa bersalin tadi malam? pe'anakee melahirkan, memperanakkan; inge - nggiro'o, siapa yang melahirkan itu?"
anabangga,biduk,- nggiroo ari ito inindio,biduk itu sudah selesai dikerjakan
mebangga,berbiduk,anadalo ngiro'o - butu i Lae-lae,anak itu berbiduk ke Lae-lae
ana,mohewu bocah,ana dalo nggiro'o laipo -,anak itu masih bocah
anahoma,belukar,- toro morome i pamba aalaa,hutan belukar tumbuh dengan suburnya di pinggir sungai
anamotuo,orang tua,footo nonio no,sudah tidak ada orang tuanya
anandonia,pemuda,foono nggiro'o monggii - laalako i kambo,orang itu melihat pemuda yang pergi ke kampung
anandumungge,layang-layang rumah,lakonoto i Oheo momone -,lalu Oheo memanjat di layang-layang
snanggomba,bayi,- laa laa ne bue mate,bayi yang ada di ayunan meninggal
lanawai,bidadari,i wowono-kuri ndomumu dange wulaa,"(nama buah-buahan), konon dia adalah bidadari di puncak pohon dangge emas"
anawula,bintang,telate - i lahuene,bertaburan bintang di langit
asorupa,sebintang,i Amin ronga i Ati hende-hendeno -,Amin dan Ati rupanya sebintang
pokondau,tekono ne ana wul,perbintangan; mewula batuano perbintangan artinya ilmu bintan,
andi-andi,anting-anting,ana dalo ni ino mombake - wulaa,anak in memakai anting-anting emas
andonga,"pusat, tengah",i - inimo,d tengah kebun
angga,sibuk,la'iroto - anotebua i Tolohoru membesui-sui,"sementara mereka sibuk, muncullah Tolohoru bersiul-siul"
"aniko, me'amiko saya",tarik kam,- peeka iwawondobi,saya tarik
ano,dia,Iyeto aalaano konawe'oha - molinde,itulah sebabnya sungai Konawe menjadi dalam
anoamba,lalu,- i Tolohoru mombeopeonasa,lalu Tolohoru merasakan
ano,nanti,mbiha-mbiha - inano ehe,jangan-jangan nanti ibunya mau
ano,sebabnya,"ieto - petamo mate' ako ""Langgaimoriana",""" itulah sebabnya diberi nama tetap ""Langgaimoriana"""
ano,hanya,- aso lawato tawano,hanya satu lembar daunnya
lano,kemudian,- mendiaona,kemudian ia pun hamillah
anoamba,kemudian,- leu tumunu'ike,kemudian dia datang membakarnya
ano,kenapa,- laa hende neino mendaa nolumele,kenapa ada seperti ini panjangnya menjalar?
anoleu,datang,laito tekura - o la sementara putus asa,datang lal
ao,"aur, bambu",laa nggo pendamok i une - i kirotokaa anotekai,"ak dimaksukaan ke dalam aur, di tulah ia tertangkap atau terkuru"
api,api,anoinau mekalikee iton lea -,dia ke sana membuang tengah nyala api
apu,raja,ro onggo ene wowa'iro no ro laa meohaki,mereka ak ke sana untuk mengobati rajan
"ara, araarai",coba-cobalah,- ku,
a,"wowaikomami Tolohoru, cob",cobalah obati kami Toloharu,
ari,"sudah, telah",inggani - kumii kanotauhano,kami sudah melihat kepandaiannya
ariito,sudah,- inukuru kinaamu,makananmu sudah diukur
ariito,dia sudah,- monduka 'ako,dia sudah mendaki gunung
ari-ari,yang telah,luwuako toono - tineeniakonggu leu tumulungiaku,semua sanak saudara yang telah saya undang datang menolongku
pokoari-ari,menyembuhkan,keu - aku ku poweko ananggu,"kalau kau menyembuhkan saya, saya berikan anakku"
asa,siak,imbe lako ano - nggu,pergi ke mana siakku
asaki,seberang,i ngapano mokele i ndahi,di pelabuhan raja di seberang lautan
asala,asal,mano metunggo - no meambo,"biar mahal, asal bagus"
"asi, pe'asikee",menyelipkan,no - i lolu nggasoro,dia menyelipkan di bawah kasur
aso-aso,satu-satu,ikirotokaa aro ambambeengaa - itoono,di situ saja mereka mengamuk satu-satu
asombole,sepucuk,- mariano,sepucuk meriamnya
asobanggona,satu kelompok,- fii,
atahakonggu,budak-budak,i wa-,
ate,wue paru-paru,- no toono nggiroo kamba,paru-paru orang itu bengkak
atooru,kita segera,ngapanoto mokele i Aasakindahi - meopolaha nggo pelaika'ando,"pelabuhan raja di seberang laut, kita segera mencari untuk membuat rumah kita"
atoto,kita akan,"keto totandamua ""- mbenderumba","kita akan berangkat, lalu kita berjatuhan"
atawa,atau,pokosiikee ruo - tolu,simpanlah dua atau tiga
au,supaya kamu,- lakotokaa,"supaya kamu saja yang pergi, au mowohu supaya kenyang, ponggaato -, makanlah supaya kenyang, au ronga supaya dengan; - pepusu moro-mororo, supaya dengan menutup mata kuat-kuat; au aro supaya engkau cepat; maa ale'ito - mbule, ya ambillah supaya engkau cepat pulang"
auti,nama kampung,iyeto ano tinamoako -,"itulah sebabnya dinamakan Auti (tempat berbiawak moako -, itulah sebabnya dinamakan Auti (tempat berbiawak)"
"baba, babai gendong",dengan sarung,leu umalei - mbele'esu,"datang mengambil, gendong dengan sarung lebih dahulu"
"bada, o bada",bedak,mosiu-siu mbuupu'u - nggiro'o,"harum sekali bedak itu, mbebada berbedak"
mo'oru-oru,"ihiro -, pagi-pagi mereka berbedak, mebada berbedak",momahemoki keu ari - laule,"note'eni ana ndonia, "" Alangkah cantik gadis itu kalau sudah berbedak,"" kata anak muda"
badai,membedaki,iee - anano,", dia membedaki anaknya; mokobebadai membedakkan; mesi-mesidato - anano i ano, rajinrajinlah membedakkan anak ani"
page,tingkah,dadio osi itoomu mu,cukup banyak juga tingkahmu
bageno,tingkah lakunya,dadio' itokaa nggiro'o ana dalo - ban-,
bage,bagei diganggu,iamoto lako -,janganlah pergi diganggu
baguli,kelereng,o pitu - nggu,kelerengku tujuh
"baho, bahoi",mandikan,lako mo'alo iwoi ano leu -,pergi mengambil air dan datanglah memandikannya
